"Token Value","Attribute Name","Attribute Setting","Description","Spec","Request"
"0102","Hard Disk Acoustic Mode","Quiet","The BIOS sets the hard disks' acoustic mode to the quietest operation.",,
"0103","Hard Disk Acoustic Mode","Suggested","The BIOS sets the hard disks' acoustic mode to the manufacturer's suggested setting.",,
"0104","Hard Disk Acoustic Mode","Performance","The BIOS sets the hard disks' acoustic mode for the highest disk performance.",,
"0105","Standby State","S1","The system is placed into the ACPI S1 sleeping state when the system enters Standby.",,
"0106","Standby State","S3","The system is placed into the ACPI S3 (save-to-RAM) sleeping state when the system enters Standby.",,
"0107","Interrupt 13h DMA","Enabled","The BIOS enables interrupt 13h (disk, diskette) DMA on boot.",,
"0108","Interrupt 13h DMA","Disabled","The BIOS disables interrupt 13h (disk, diskette) DMA on boot.",,
"0109","USB Emulation On, No USB Boot","Enabled","Enables BIOS emulation of all supported USB devices except for bootable devices (floppy, USB flash, etc.). This is a security feature that will prevent users from inserting a USB boot device and booting an OS from it. Non-bootable devices (keyboard, mouse, hub) are still emulated.",,
"010A","Onboard Modem","Enable","Enable onboard modem.",,
"010B","Onboard Modem","Disable","Disable onboard modem.",,
"010C","Radio Transmission","Enable","Enable radio transmission from MiniPCI Wireless or Bluetooth module.",,
"010D","Radio Transmission","Disable","Disable radio transmission from MiniPCI Wireless or Bluetooth module.",,
"010E","Power Warning","Enable","Enable messages about performance limitations based on power supply capacity.",,
"010F","Power Warning","Disable","Disable messages about performance limitations based on power supply capacity.",,
"0110","Keypad On Numlock","Enable","Activate internal keyboards??? embedded keypad when NumLock LED is on.",,
"0111","Keypad Only by Fn Key","Enable","Activate internal keyboards??? embedded keypad when Fn Key is pressed.",,
"0112","Video Expansion","Enable","Stretch lower resolutions modes to fill the LCD.",,
"0113","Video Expansion","Disable","Preserve the LCD aspect ratio of the image and surround it with a large black border.",,
"0114","Wireless Device","Disable","Wireless devices are always disabled.",,
"0115","Wireless Device Controlled by Application","Enable","Wireless devices can be controlled by an application such as QuickSet",,
"0116","Wireless Device Controlled by Hotkey and Application","Enable","Wireless devices can be controlled by the <fn+f2> hotkey or by an application such as QuickSet.",,
"0117","Serial ATA Drive 0","OFF","Sets the 1st Serial ATA drive controller to OFF.",,
"0118","Serial ATA Drive 0","AUTO","Sets the 1st Serial ATA drive controller to Auto (enabled if present, POST error if not present).",,
"0119","Serial ATA Drive 1","OFF","Sets the 2nd Serial ATA drive controller to OFF.",,
"011A","Serial ATA Drive 1","AUTO","Sets the 2nd Serial ATA drive controller to Auto (enabled if present, POST error if not present).",,
"011B","Serial ATA Drive 2","OFF","Sets the 3rd Serial ATA drive controller to OFF.",,
"011C","Serial ATA Drive 2","AUTO","Sets the 3rd Serial ATA drive controller to Auto (enabled if present, POST error if not present).",,
"011D","Serial ATA Drive 3","OFF","Sets the 4th Serial ATA drive controller to OFF.",,
"011E","Serial ATA Drive 3","AUTO","Sets the 4th Serial ATA drive controller to Auto (enabled if present, POST error if not present).",,
"011F","Serial ATA Drive 4","OFF","Sets the 5th Serial ATA drive cotroller to OFF.",,
"0120","Serial ATA Drive 4","AUTO","Sets the 5th Serial ATA drive controller to Auto (enabled if present, POST error if not present).",,
"0121","Serial ATA Drive 5","OFF","Sets the 6th Serial ATA drive controller to OFF.",,
"0122","Serial ATA Drive 5","AUTO","Sets the 6th Serial ATA drive controller to Auto (enabled if present, POST error if not present).",,
"0123","Serial ATA Drive 6","OFF","Sets the 7th Serial ATA drive controller to OFF.",,
"0124","Serial ATA Drive 6","AUTO","Sets the 7th Serial ATA drive controller to Auto (enabled if present, POST error if not present).",,
"0125","Serial ATA Drive 7","OFF","Sets the 8th Serial ATA drive controller to OFF.",,
"0126","Serial ATA Drive 7","AUTO","Sets the 8th Serial ATA drive controller to Auto (enabled if present, POST error if not present).",,
"0127","Embedded NIC1","Enable with RPL Boot","Enable the system???s primary embedded network interface controller (full-function), including its RPL boot-ROM. Implementation note: See 3.7.2.12 Using the Network Interface Card Tokens on page 1 for more formation.",,
"0128","USB Flash Drive Emulation","Auto","Specifies the BIOS emulation type for the USB flash drive. A USB flash drive is a portable USB mass storage device used for storage and transportation of data and applications. Currently Dell branded USB memory key is an example of an USB flash drive. If 'Auto' is selected, BIOS will auto-detect the current formatted media and decide the emulation type to use.","1.5h",
"0129","USB Flash Drive Emulation","Floppy","If 'Floppy' is selected, BIOS will emulate the USB flash drive as a removable floppy media, and it will take drive letter A: or B:.","1.5h",
"012A","USB Flash Drive Emulation","Hard Disk","If 'Hard disk' is selected, BIOS will emulate the USB flash drive as a hard disk, and it will take drive letter C: or above.","1.5h",
"012B","SMART Errors","Enable","Display HD SMART errors at POST.","1.5h",
"012C","SMART Errors","Disable","Do NOT display HD SMART errors at POST.","1.5h",
"012D","Energy Star Logo","Enable","Display Energy Star logo on DELL screen at POST.","1.5h",
"012E","Energy Star Logo","Disable","Do NOT display Energy Star logo on DELL screen at POST.","1.5h",
"012F","Integrated Video Size","1MB","Set the Default Integrated Video memory frame buffer size to 1MB (Stolen from main memory). This only applies when integrated video is being used.","1.5h",
"0130","Integrated Video Size","8MB","Set the Default Integrated Video memory frame buffer size to 8MB (Stolen from main memory). This only applies when integrated video is being used.","1.5h",
"0131","Integrated Video Size","32MB","Set the Default Integrated Video memory frame buffer size to 32MB (Stolen from main memory). This only applies when integrated video is being used.","1.5h",
"0132","On-board Serial ATA 2 Controller","Enable","Enable on-board Serial ATA 2 controller.","1.5h",
"0133","On-board Serial ATA 2 Controller","Disable","Disable on-board Serial ATA 2 controller.","1.5h",
"0134","Redundant Memory","RAID","Redundant memory support is set for RAID memory feature. Any change takes effect on the next system boot. Note: The Attribute Name is generalized from ???Redundant Memory Support??? to ???Redundant Memory??? since DSIS v1.6. The Attribute Setting is also generalized from ???RAID Enabled??? to ???RAID??? since DSIS v1.6.","1.5i",
"0135","SATA Controller","OFF","Disable the SATA controller. The token applies to the first on-board SATA controller.","1.5i",
"0136","SATA Controller","Combined","Enables the SATA controller to work in legacy mode with the IDE controller. Sets the device class code as IDE and uses IRQ 14 or 15. This token applies to the first on-board SATA controller.","1.5i",
"0137","SATA Controller","ATA","Enables the SATA controller. Sets the device class code as IDE and uses PCI IRQ (referred as Native mode). This token applies to the first on-board SATA controller.","1.5i",
"0138","SATA Controller","AHCI","Enables the SATA controller. Sets the device class code as SATA and sets up the AHCI BARs and registers. This token applies to the first on-board SATA controller.","1.5i",
"0139","SATA Controller","RAID","Enables the SATA controller. Sets the device class code as RAID and executes the RAID Option ROM. This token applies to the first on-board SATA controller.","1.5i",
"013A","SATA Controller Shadow Copy","Combined","The SATA controller is set to Combined mode on the previous system boot (from a BIOS perspective) or on the current system boot (from an application perspective). Notes: 1.This setting has no meaning unless the SATA controller is set to operate in Combined mode (see 0136h token). 2.The BIOS compares this value to the primary copy???s settings (see 0135h ??? 0139h) and prompts the user if a change is detected. 3.After handling the compare action, the BIOS copies the primary copy token value to the shadow copy token value on each boot. Manufacturing diagnostics and Toolkit use the Shadow Copy tokens to synchronize the controller settings to remove the unwanted BIOS prompts. This token applies to the first on-board SATA controller.","1.5i",
"013B","SATA Controller Shadow Copy","ATA","The SATA controller is set to ATA mode on the previous system boot (from a BIOS perspective) or on the current system boot (from an application perspective). This token applies to the first on-board SATA controller. Notes: The notes for token ???SATA Controller Shadow Copy - Combined??? also apply to this token. This token applies to the first on-board SATA controller.","1.5i",
"013C","SATA Controller Shadow Copy","AHCI","The SATA controller is set to AHCI mode on the previous system boot (from a BIOS perspective) or on the current system boot (from an application perspective). Notes: The notes for token ???SATA Controller Shadow Copy - Combined??? also apply to this token. This token applies to the first on-board SATA controller.","1.5i",
"013D","SATA Controller Shadow Copy","RAID","The SATA controller is set to RAID mode on the previous system boot (from a BIOS perspective) or on the current system boot (from an application perspective). Notes: The notes for token ???SATA Controller Shadow Copy - Combined??? also apply to this token. This token applies to the first on-board SATA controller.","1.5i",
"013E","Memory Remapping","Off","Memory remapping relocates memory space behind PCI hole to the space above 4G. With this feature enabled, OS can use the relocated memory as main memory.","1.5j",
"013F","Memory Remapping","Auto","Memory remapping relocates memory space behind PCI hole to the space above 4G. With this feature disabled, memory space behind PCI hole is not relocated.","1.5j",
"0140","CPU XD Support","Off","When Off, Intel CPUs that support the eXecute Disable (XD) feature will not report the support to the operating system.","1.5j",
"0141","CPU XD Support","Enabled","When Enabled, Intel CPUs that support the eXecute Disable (XD) feature will report the support to the operating system. If the operating system supports this extended paging mechanism, it will provide some protection against software viruses that exploit buffer overflows.","1.5j",
"0142","Smartcard Reader","Off","Disable built-in smartcard reader on the following boot.","1.5j",
"0143","Smartcard Reader","Enabled","Enable built-in smartcard reader on the following boot.","1.5j",
"0144","TPM Enable","Off","Hide the Trusted Platform Module (TPM) from the operating system on the following boot. There is no change in the TPM or its contents when it is disabled. Disabling the TPM simply causes it to be invisible to the OS until it is made visible again.NOTE: These tokens are distinct from the TPM Enable and Disable tokens, A002 and A003 respectively, which are used to expose/hide the TPM hardware at the lowest level. That is, until the TPM is enabled using A002, there effectively is no TPM, so the OS enable and disable tokens would do nothing at all.","1.5j",
"0145","TPM Enable","Enabled","Unhide Trusted Platform Module (TPM) from the operating system on the following boot.","1.5j",
"0146","USB Wake Support","Off","Disable Wake On USB feature on the following boot.","1.5j",
"0147","USB Wake Support","Enabled","Enabled Wake On USB feature on the following boot. Any USB input device can generate a wake event.","1.5j",
"0148","Demand-Based Power Management","Disabled","This feature will allow the user to disable CPU P state tables reported to OS. The option is only available to the user if the CPU is capable of supporting this feature.","1.5j",
"0149","Demand-Based Power Management","Enabled","This feature will allow the user to enable CPU P state tables reported to OS. The option is only available to the user if the CPU is capable of supporting this feature.","1.5j",
"014A","CPU Virtualization","Disabled","This feature will allow the users to disable the VT technology in applicable CPUs. If disabled, the VT feature is unusable in any OS.","1.5k",
"014B","CPU Virtualization","Enabled","This feature will allow the users to enable the VT technology in applicable CPUs.","1.5k",
"014C","Multiple CPU cores","Disable","This feature will allow the users to disable Multiple CPU Cores if needed. If disabled, this would prevent the OS from seeing additional cores present on a single CPU package.","1.5k",
"014D","Multiple CPU cores","Enable","This feature will allow the users to enable Multiple CPU Cores","1.5k",
"014E","Front USB Ports","Disabled","This feature will allow the users to electrically enable or disable the Front USB ports. If disabled, they are unusable in any OS.","1.5k",
"014F","Front USB Ports","Enabled","This feature will allow the users to electrically enable or disable the Front USB ports. If disabled, they are unusable in any OS.","1.5k",
"0150","Hot Undocking","Disabled","This feature will allow the users to determine whether the notebook computer goes into the suspend state prior to undocking. When Hot Undocking is disabled, a request to undock the computer will result in the notebook transitioning to the S3 (suspend) state, where it can then be undocked.","1.5k",
"0151","Hot Undocking","Enabled","This feature will allow the users to determine whether the notebook computer goes into the suspend state prior to undocking. When Hot Docking is enabled, the notebook will remain in the S0 state during a request to undock, and the operating system will display a message to the user when it is okay for the user to physically undock.","1.5k",
"0152","Bluetooth Devices","Enabled","This feature will allow users to enable Bluetooth devices so that they will function within the operating system.","1.5k",
"0153","Bluetooth Devices","Disabled","This feature will allow users to disable Bluetooth devices so that they will not function within the operating system.","1.5k",
"0154","SERR DMI Message","Off","This token allows the user to disable the SERR on the DRAM controller and the PEG controller in the north bridge. This will disable the SERR DMI Messaging Mechanism.","1.5k",
"0155","SERR DMI Message","On","This token allows the user to enable the SERR on the DRAM controller and the PEG controller in the north bridge. This will enable the SERR DMI Messaging Mechanism.","1.5k",
"0156","Intel Quick Resume Technology","Disabled","Disable Energy Lake feature (Intel Quick Resume Technology)","2.000",
"0157","Intel Quick Resume Technology","Enabled","Enable Energy Lake feature (Intel Quick Resume Technology)","2.000",
"0158","SATA 0 Raid","Off","Disable SATA Drive 0 for on-board RAID enablement.","2.000",
"0159","SATA 0 Raid","On","Enable SATA Drive 0 for on-board RAID enablement.","2.000",
"015A","SATA 1 Raid","Off","Disable SATA Drive 1 for on-board RAID enablement.","2.000",
"015B","SATA 1 Raid","On","Enable SATA Drive 1 for on-board RAID enablement.","2.000",
"015C","SATA 2 Raid","Off","Disable SATA Drive 2 for on-board RAID enablement.","2.000",
"015D","SATA 2 Raid","On","Enable SATA Drive 2 for on-board RAID enablement.","2.000",
"015E","SATA 3 Raid","Off","Disable SATA Drive 3 for on-board RAID enablement.","2.000",
"015F","SATA 3 Raid","On","Enable SATA Drive 3 for on-board RAID enablement.","2.000",
"0160","SATA 4 Raid","Off","Disable SATA Drive 4 for on-board RAID enablement.","2.000",
"0161","SATA 4 Raid","On","Enable SATA Drive 4 for on-board RAID enablement.","2.000",
"0162","SATA 5 Raid","Off","Disable SATA Drive 5 for on-board RAID enablement.","2.000",
"0163","SATA 5 Raid","On","Enable SATA Drive 5 for on-board RAID enablement.","2.000",
"0164","SATA 6 Raid","Off","Disable SATA Drive 6 for on-board RAID enablement.","2.000",
"0165","SATA 6 Raid","On","Enable SATA Drive 6 for on-board RAID enablement.","2.000",
"0166","SATA 7 Raid","Off","Disable SATA Drive 7 for on-board RAID enablement.","2.000",
"0167","SATA 7 Raid","On","Enable SATA Drive 7 for on-board RAID enablement.","2.000",
"0168","Limit CPUID Value","Off","Some OS's (NT4) will fail if the value returned in EAX is > 3 when CPUID instruction is executed with EAX=0. This setting disables the 3 or less limit.","2.000",
"0169","Limit CPUID Value","On","Some OS's (NT4) will fail if the value returned in EAX is > 3 when CPUID instruction is executed with EAX=0. This setting will limit CPUID function to 3.","2.000",
"016A","User Accessible USB Ports","All Ports Off","Disables both front and back user accessible USB ports.","2.001",
"016B","User Accessible USB Ports","Only Back Ports On","Disables the front user accessible USB ports.","2.001",
"016C","User Accessible USB Ports","All Ports On","Enables all user accessible USB ports.","2.001",
"016D","Integrated RAID Controller","Disabled","Disables the integrated RAID controller.","2.001",
"016E","Integrated RAID Controller","Enabled","Enables the integrated RAID controller.","2.001",
"016F","Integrated SAS Controller","Disabled","Disables the integrated SAS controller.","2.001",
"0170","Integrated SAS Controller","Enabled","Enables the integrated SAS controller.","2.001",
"0171","Adjacent Cache Line Prefetch","Disabled","The CPU will only fetch the cache line that contains the data currently required by the CPU.","2.001",
"0172","Adjacent Cache Line Prefetch","Enabled","Enables the CPU to fetch the adjacent cache line in the other half of the sector.","2.001",
"0173","Hardware Prefetcher","Disabled","Disables the CPU???s HW prefetcher.","2.001",
"0174","Hardware Prefetcher","Enabled","Enables the CPU???s HW prefetcher.","2.001",
"0175","Absolute Security ROM","Disabled","This feature will allow users to permanently disable or permanently enable Absolute Software???s Computrace security software BIOS ROM. Once either token is written, the state is permanently maintained (i.e. this is a write-once field). This token is for Factory use only. Application and Management software must ignore or not use this token. Write-once-permanent is different from write-once. Write-once is reset on a power cycle and/or chipset reset. Write-once permanent cannot be reset/change once it is set.","2.001",
"0176","Absolute Security ROM","Enabled","This feature will allow users to permanently disable or permanently enable Absolute Software???s Computrace security software BIOS ROM. Once either token is written, the state is permanently maintained (i.e. this is a write-once field). This token is for Factory use only. Application and Management software must ignore or not use this token. Write-once-permanent is different from write-once. Write-once is reset on a power cycle and/or chipset reset. Write-once permanent cannot be reset/change once it is set.","2.001",
"0177","Serial Communication","Off","COM1 and COM2 are both disabled and not available for use by the Operating System or applications. BIOS Console Redirection is disabled.","2.001",
"0178","Serial Communication","On without Console Redirection","COM1 and COM2 are enabled and available for use by the Operating System or applications. Console Redirection is disabled.","2.001",
"0179","Serial Communication","On with Console Redirection via COM1","COM1 and COM2 are enabled and available for use by the Operating System or applications. BIOS Console Redirection is via COM1.","2.001",
"017A","Serial Communication","On with Console Redirection via COM2","COM1 and COM2 are enabled and available for use by the Operating System or applications. BIOS Console Redirection is via COM2.","2.001",
"017B","Cellular Radio","Disable","Disable cellular radio (i.e. the WWAN module).","2.001",
"017C","Cellular Radio","Enable","Enable cellular radio (i.e. the WWAN module).","2.001",
"017D","WiFi Locator","Disable","Disable the WiFi locator feature.","2.001",
"017E","WiFi Locator","Enable","Enable the WiFi locator feature. When enabled, the locator feature can be activated during S3 to indicate the presence and intensity of wireless network(s), without fully waking the system.","2.001",
"017F","Wireless LAN","Disable","Disable wireless LAN module.","2.001",
"0180","Wireless LAN","Enable","Enable wireless LAN module.","2.001",
"0181","Wireless Switch Bluetooth Control","Disable","For systems that have a physical ???Wireless On/Off Switch???, switch will have no effect on the state of the Bluetooth radio.","2.001",
"0182","Wireless Switch Bluetooth Control","Enable","For systems that have a physical ???Wireless On/Off Switch???, switch will turn the Bluetooth radio on and off.","2.001",
"0183","Wireless Switch Cellular Control","Disable","For systems that have a physical ???Wireless On/Off Switch???, switch will have no effect on the state of the cellular radio.","2.001",
"0184","Wireless Switch Cellular Control","Enable","For systems that have a physical ???Wireless On/Off Switch???, switch will turn the cellular (i.e. WWAN) radio on and off.","2.001",
"0185","Wireless Switch Wireless LAN Control","Disable","For systems that have a physical ???Wireless On/Off Switch???, switch will have no effect on the state of the wireless LAN radio.","2.001",
"0186","Wireless Switch Wireless LAN Control","Enable","For systems that have a physical ???Wireless On/Off Switch???, switch will turn the wireless LAN radio on and off.","2.001",
"0187","ALS","Off","The panel brightness is controlled by the Fn+Up-arrow and Fn+Down-arrow keys and by the brightness fields in BIOS setup. Meant to be used by factory configuration utilities such as SMMFGCFG, although they can be manipulated by OS-level applications as well.","2.001",
"0188","ALS","Enabled","Ambient Light Sensor (ALS) in certain notebook computers, controls the brightness of the notebook???s LCD panel according to the amount of light in the surrounding environment.","2.001",
"0189","External USB Ports","Disabled","Will enable/disable all external USB ports. If the system supports a dock, all USB to the dock is also enabled/disabled, so that USB in the dock can be totally disabled???all ports on the dock as well as any USB devices inside the dock.","2.001",
"018A","External USB Ports","Enabled","Will enable/disable all external USB ports. If the system supports a dock, all USB to the dock is also enabled/disabled, so that USB in the dock can be totally disabled???all ports on the dock as well as any USB devices inside the dock.","2.001",
"018B","Media Card and 1394","Disabled","Will disable both the Media Card and 1394 devices.","2.001",
"018C","Media Card and 1394","Enabled","Will enable both the Media Card and 1394 devices.","2.001",
"018D","PC Card and 1394","Disabled","Will disable both the PC Card and 1394 devices.","2.001",
"018E","PC Card and 1394","Enabled","Will enable both the PC Card and 1394 devices.","2.001",
"018F","PC Card","Disabled","Will disable PC Card device.","2.001",
"0190","PC Card","Enabled","Will enable PC Card device.","2.001",
"0191","Wi-Fi Catcher Changes","Denied","Will deny changes to the Wi-Fi Catcher setting (in setup and via the token mechanism) when an administrator password is set. If the administrator password is not set, this token???s setting will have no effect.","2.001",
"0192","Wi-Fi Catcher Changes","Permitted","Will permit changes to the Wi-Fi Catcher setting (in setup and via the token mechanism) when an administrator password is set. If the administrator password is not set, this token???s setting will have no effect.","2.001",
"0193","Wireless Switch Changes","Denied","Will deny changes to the Wireless Switch setting (in setup and via the token mechanism) when an administrator password is set. If the administrator password is not set, this token???s setting will have no effect.","2.001",
"0194","Wireless Switch Changes","Permitted","Will permit changes to the Wireless Switch setting (in setup and via the token mechanism) when an administrator password is set. If the administrator password is not set, this token???s setting will have no effect.","2.001",
"0195","FBD Memory Test Request","Test Not Requested","The OS application can only request one memory configuration at one time. The requested memory configuration will be valid only on the following system reboot. The OS application can request another memory configuration once finished the test for the first memory configuration. The second requested memory configuration will be valid only on the following reboot. There is no restriction to the order of the memory configurations. The tokens will not exist if the system does not support FBD Memory IBIST and MBIST. The OS application can abort the test by setting the FBD Test Not Request token.","2.001",
"0196","FBD Memory Test Request","Memory Configuration 0","The OS application can only request one memory configuration at one time. The requested memory configuration will be valid only on the following system reboot. The OS application can request another memory configuration once finished the test for the first memory configuration. The second requested memory configuration will be valid only on the following reboot. There is no restriction to the order of the memory configurations. The tokens will not exist if the system does not support FBD Memory IBIST and MBIST. The OS application can abort the test by setting the FBD Test Not Request token.","2.001",
"0197","FBD Memory Test Request","Memory Configuration 1","The OS application can only request one memory configuration at one time. The requested memory configuration will be valid only on the following system reboot. The OS application can request another memory configuration once finished the test for the first memory configuration. The second requested memory configuration will be valid only on the following reboot. There is no restriction to the order of the memory configurations. The tokens will not exist if the system does not support FBD Memory IBIST and MBIST. The OS application can abort the test by setting the FBD Test Not Request token.","2.001",
"0198","Wake on LAN","LAN or WLAN","On systems that have onboard LAN and wireless LAN hardware, we need a token to enable wake on either wired or wireless LAN. It is not possible to set up the system to only wake on wireless.","2.001",
"0199","SATA DIPM","Disabled","This feature will allow users to disable the feature that allows SATA HDDs to initiate link power management transitions.","2.001",
"019A","SATA DIPM","Enabled","This feature will allow users to enable the feature that allows SATA HDDs to initiate link power management transitions.","2.001",
"019B","Password Bypass","Off","This feature will allow users to skip the entry of the System password, internal Hard Disk password, fingerprint scan or smartcard on either/both Reboot (warm boot) or S3 resume (resume from standby).","2.001",
"019C","Password Bypass","Reboot Bypass","This feature will allow users to skip the entry of the System password, internal Hard Disk password, fingerprint scan or smartcard on either/both Reboot (warm boot) or S3 resume (resume from standby).","2.001",
"019D","Password Bypass","Resume Bypass","This feature will allow users to skip the entry of the System password, internal Hard Disk password, fingerprint scan or smartcard on either/both Reboot (warm boot) or S3 resume (resume from standby).","2.001",
"019E","Password Bypass","Reboot and Resume Bypass","This feature will allow users to skip the entry of the System password, internal Hard Disk password, fingerprint scan or smartcard on either/both Reboot (warm boot) or S3 resume (resume from standby).","2.001",
"019F","Integrated USB Hub","Compatible","Compatible setting can be used to force the integrated USB 2.0 hub to operate as a USB 1.1 hub, which can dramatically improve battery life under some operating systems.","2.001",
"01A0","Integrated USB Hub","High Speed","The High Speed setting allows the hub to function as a 2.0 hub.","2.001",
"01A1","USB Port 00","Disabled","Disable USB Port 0","2.001",
"01A2","USB Port 00","Enabled","Enable USB Port 0","2.001",
"01A3","USB Port 01","Disabled","Disable USB Port 1","2.001",
"01A4","USB Port 01","Enabled","Enable USB Port 1","2.001",
"01A5","USB Port 02","Disabled","Disable USB Port 2","2.001",
"01A6","USB Port 02","Enabled","Enable USB Port 2","2.001",
"01A7","USB Port 03","Disabled","Disable USB Port 3","2.001",
"01A8","USB Port 03","Enabled","Enable USB Port 3","2.001",
"01A9","USB Port 04","Disabled","Disable USB Port 4","2.001",
"01AA","USB Port 04","Enabled","Enable USB Port 4","2.001",
"01AB","USB Port 05","Disabled","Disable USB Port 5","2.001",
"01AC","USB Port 05","Enabled","Enable USB Port 5","2.001",
"01AD","USB Port 06","Disabled","Disable USB Port 6","2.001",
"01AE","USB Port 06","Enabled","Enable USB Port 6","2.001",
"01AF","USB Port 07","Disabled","Disable USB Port 7","2.001",
"01B0","USB Port 07","Enabled","Enable USB Port 7","2.001",
"01B1","USB Port 08","Disabled","Disable USB Port 8","2.001",
"01B2","USB Port 08","Enabled","Enable USB Port 8","2.001",
"01B3","USB Port 09","Disabled","Disable USB Port 9","2.001",
"01B4","USB Port 09","Enabled","Enable USB Port 9","2.001",
"01B5","USB Port 10","Disabled","Disable USB Port 10","2.001",
"01B6","USB Port 10","Enabled","Enable USB Port 10","2.001",
"01B7","USB Port 11","Disabled","Disable USB Port 11","2.001",
"01B8","USB Port 11","Enabled","Enable USB Port 11","2.001",
"01B9","USB Port 12","Disabled","Disable USB Port 12","2.001",
"01BA","USB Port 12","Enabled","Enable USB Port 12","2.001",
"01BB","USB Port 13","Disabled","Disable USB Port 13","2.001",
"01BC","USB Port 13","Enabled","Enable USB Port 13","2.001",
"01BD","USB Port 14","Disabled","Disable USB Port 14","2.001",
"01BE","USB Port 14","Enabled","Enable USB Port 14","2.001",
"01BF","USB Port 15","Disabled","Disable USB Port 15","2.001",
"01C0","USB Port 15","Enabled","Enable USB Port 15","2.001",
"01C1","ASF","Off","No ASF support","2.001",
"01C2","ASF","On","Full ASF support","2.001",
"01C3","ASF","AlertOnly","Enable only error messages","2.001",
"01C4","Node Interleave","Disabled","For BIOS Setup to allow user enable or disable the node interleave option. This is for NUMA systems that allow memory interleaving across all processor nodes.","2.002",
"01C5","Node Interleave","Enabled","For BIOS Setup to allow user enable or disable the node interleave option. This is for NUMA systems that allow memory interleaving across all processor nodes.","2.002",
"01C6","Video Memory Size","Off","These tokens are used to configure the amount of memory allocated to the onboard Nvidia video chipset.","2.002",
"01C7","Video Memory Size","Auto","These tokens are used to configure the amount of memory allocated to the onboard Nvidia video chipset.","2.002",
"01C8","Video Memory Size","16MB","These tokens are used to configure the amount of memory allocated to the onboard Nvidia video chipset.","2.002",
"01C9","Video Memory Size","32MB","These tokens are used to configure the amount of memory allocated to the onboard Nvidia video chipset.","2.002",
"01CA","Video Memory Size","64MB","These tokens are used to configure the amount of memory allocated to the onboard Nvidia video chipset.","2.002",
"01CB","Video Memory Size","128MB","These tokens are used to configure the amount of memory allocated to the onboard Nvidia video chipset.","2.002",
"01CC","Embedded SAS Controller","Disabled","Disables the embedded SAS controller.","2.002",
"01CD","Embedded SAS Controller","Enabled","Enables the embedded SAS controller.","2.002",
"01CE","Sound Device","Auto","Use the add-in Audio controller if detected and disable the Integrated Audio controller","2.002",
"01CF","I/OAT DMA Engine","Enabled","Enables/Disables the I/O Acceleration Technology (I/OAT) DMA Engine option. This feature should be enabled only if the hardware and software support I/OAT.","2.002",
"01D0","I/OAT DMA Engine","Disabled","Enables/Disables the I/O Acceleration Technology (I/OAT) DMA Engine option. This feature should be enabled only if the hardware and software support I/OAT.","2.002",
"01D1","Built-in Floppy","USB","Built-in floppy controller is disabled but booting to a USB floppy is still allowed.","2.002",
"01D2","Rear Quad USB","Off","Controls for each stack of USB ports on the rear of desktop machines.","2.002",
"01D3","Rear Quad USB","On","Controls for each stack of USB ports on the rear of desktop machines.","2.002",
"01D4","Rear Dual USB","Off","Controls for each stack of USB ports on the rear of desktop machines.","2.002",
"01D5","Rear Dual USB","On","Controls for each stack of USB ports on the rear of desktop machines.","2.002",
"01D6","Memory Low Power Mode","Disabled","Setting the option to ???Disabled??? will allow memory to run at full speed.","2.003","122"
"01D7","Memory Low Power Mode","Enabled","Setting the option to ???Enabled??? will down-clock the memory to conserve power.","2.003","122"
"01D8","Module Bay Device","Disabled","These tokens are used to enable/disable Dell notebook module bay device (except battery).","2.002",
"01D9","Module Bay Device","Enabled","These tokens are used to enable/disable Dell notebook module bay device (except battery).","2.002",
"01DA","Embedded NIC1","Enabled with ISCSI Boot","NIC 1 enabled with ISCSI Boot","2.002",
"01DB","Embedded NIC2","Enabled with ISCSI Boot","NIC 2 enabled with ISCSI Boot","2.002",
"01DC","OCCUR (OpenCable Unidirectional Receiver)","Disabled","A factory tools employs this token to permanently disable the OCUR (OpenCable Unidirectional Receiver) feature. This feature may become enabled/disabled just once; further attempts to enable/disable OCUR will fail.","2.002",
"01DD","OCCUR (OpenCable Unidirectional Receiver)","Enabled","A factory tools employs this token to permanently enable the OCUR (OpenCable Unidirectional Receiver) feature. This feature may become enabled/disabled just once; further attempts to enable/disable OCUR will fail.","2.002",
"01DE","Microphone","Disabled","These tokens are used to enable/disable Dell notebook internal/external microphone.","2.002",
"01DF","Microphone","Enabled","These tokens are used to enable/disable Dell notebook internal/external microphone.","2.002",
"01E0","Integrated NIC","Enabled with ImageServer boot","These tokens control how the integrated NIC is to be configured and which option ROM to load (if any). This token is for the ???Enabled with ImageServer boot??? as all of the other selections already have assigned token values. Enabled with ImageServer boot will be used in the deployment of Dell???s SmartClient products.","2.002",
"01E1","Keyboard Illumination","Off","These tokens are used to change the Setup option for the keyboard illumination mode. The options are Auto (illumination set based on ambient light level), Off (illumination always off), and On (illumination always on).","2.002",
"01E2","Keyboard Illumination","On","These tokens are used to change the Setup option for the keyboard illumination mode. The options are Auto (illumination set based on ambient light level), Off (illumination always off), and On (illumination always on).","2.002",
"01E3","Keyboard Illumination","Auto","These tokens are used to change the Setup option for the keyboard illumination mode. The options are Auto (illumination set based on ambient light level), Off (illumination always off), and On (illumination always on).","2.002",
"01E4","UART Power Down","Off","Allow OS to power down UART","2.002",
